Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	27/1352	3.9027205223941076E-5	0.0021926193480359623	0	0	2.5823416903592658	26.214000177732647	FLT1;EBI3;IL1RAP;NDRG1;HK2;FZR1;MGAT3;EPS8L1;SLC16A3;MME;ACOT11;DIO2;PSG1;PSG3;SERPINB9;SYNJ2;TNFRSF1B;PSG9;BCL6;LEP;PSG6;TRIM14;HIST1H4H;ANGPTL4;CALM1;DGKI;NEK11
CLOCK 20551151 ChIP-Seq 293T Human	13/407	5.639365030300936E-5	0.002904272990604982	0	0	4.007439720812183	39.20539989065418	BNIP3L;SCARB1;DAPK1;GPT2;SERPINE1;DIO2;SLC6A6;BCL6;UBC;SH3BP5;ANGPTL4;SASH1;PFKP
SCL 19346495 ChIP-Seq HPC-7 Human	10/252	7.110837792743851E-5	0.0032010101165564396	0	0	4.965015464178878	47.42237898967147	SLC6A6;CCND3;EGLN3;MYCN;FLT1;HPCAL1;MAN1C1;GSE1;MID1;ADAMTS20
VDR 24787735 ChIP-Seq THP-1 Human	19/805	7.251479228445009E-5	0.0032010101165564396	0	0	2.9888222464558343	28.4886167393679	SCARB1;GALNT2;GPT2;INSR;SLC2A1;INHBA;LIMD1;NDRG1;CYP19A1;NCOR2;SLC6A6;OBSCN;BCL6;BASP1;NRIP1;FLNB;MALAT1;STRA6;MFSD2A
EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human	77/6207	1.255910833346613E-4	0.005174352633388046	0	0	1.7921917482327352	16.09832527835475	SCARB1;ANKRD37;CLIC3;FLT4;SERPINE1;SLC2A1;TRAM2;LRRC1;CCND3;SH3PXD2A;BASP1;TIMP2;PHACTR2;HMG20B;SLC16A3;DLGAP2;BNIP3L;COL27A1;DAPK1;GPT2;ARHGEF16;CSNK2A2;ACOT11;HPCAL1;SERPINB9;ATP11A;TNFRSF1B;DGKZ;UNC13D;AES;NCOR2;MYCN;OBSCN;OAF;ITGA5;ANGPTL4;PPP1R12C;DGKI;BCAT2;EBI3;SEMA3B;ATP2C2;GDPD5;NDRG1;PRKCZ;CPLX1;CORO1C;FSTL3;INPP5B;FZR1;PORCN;EBP;ALOX5;FAM120A;MXI1;UBC;SH3BP5;MAN1C1;MGAT3;RDH13;IGF2BP2;SASH1;TGFB1;GALNT2;INSR;MOCOS;RASSF8;ARID3A;SYNJ2;GP6;POU2F3;SLC6A6;BCL6;LEP;SFXN3;CALM1;PFKP
MYB 21317192 ChIP-Seq ERMYB Mouse	20/923	1.4823886394599317E-4	0.005725726119913986	0	0	2.739452370095325	24.15289037186884	RANBP2;SCARB1;EGLN3;GPT2;PLCL2;MOCOS;DIO2;HPCAL1;IL1RAP;SYNJ2;NEAT1;TNFRSF1B;FGD4;CCND3;BCL6;MXI1;PLEKHM2;PLIN2;CALM1;PFKP
YAP1 20516196 ChIP-Seq MESCs Mouse	37/2329	1.7257500700262914E-4	0.005867051377904828	0	0	2.0813924391746226	18.03459651092677	ERRFI1;SCARB1;PFKFB4;SLC2A1;ATP2C2;NDRG1;SLC7A1;INPP5B;FGD4;CCND3;SH3PXD2A;BASP1;NRIP1;MAN1C1;GSE1;PHACTR2;QSOX1;DLGAP2;SASH1;CSGALNACT1;MME;LIMCH1;DAPK1;INSR;ANXA4;ACOT11;PLEKHA5;MTUS1;AFAP1;INHBA;MID1;NCOR2;SLC6A6;MYCN;KIF2A;DGKI;PFKP
KLF5 25053715 ChIP-Seq YYC3 Human	33/2000	2.0885943416489678E-4	0.005867051377904828	0	0	2.1402425738978867	18.13609260020858	SLC2A1;MTMR4;NDRG1;PRKCZ;HK2;CORO1C;FSTL3;BASP1;CYP11A1;UBC;TIMP2;MGAT3;HMG20B;FLNB;EGLN3;GALNT2;DAPK1;ANXA4;PLCL2;ARHGEF16;ACOT11;DIO2;AFAP1;ARID3A;SYNJ2;NEAT1;ADAMTS20;NCOR2;BCL6;LEP;MALAT1;CALM1;BCAT2
LXR 22158963 ChIP-Seq LIVER Mouse	33/2000	2.0885943416489678E-4	0.005867051377904828	0	0	2.1402425738978867	18.13609260020858	ERRFI1;SCARB1;LIMD1;NDRG1;SH3PXD2A;UBC;SH3BP5;GSE1;FLNB;QSOX1;SASH1;MFSD2A;EGLN3;COL27A1;GALNT2;DAPK1;GPT2;PLCL2;ACOT11;RASSF8;INHBA;NEAT1;TNFRSF1B;HOPX;NCOR2;SLC6A6;MYCN;BMP1;BCL6;CPS1;OAF;TRIM14;PIK3AP1
TCF7 22412390 ChIP-Seq EML Mouse	33/2000	2.0885943416489678E-4	0.005867051377904828	0	0	2.1402425738978867	18.13609260020858	CSF1R;SEMA3B;LIMD1;NDRG1;PRKCZ;SLC7A1;HK2;FSTL3;CCND3;EBP;ALOX5;MXI1;UBC;NRIP1;MAN1C1;GSE1;FLNB;EGLN3;TGFB1;ARID3A;NEAT1;DGKZ;UNC13D;HOPX;AES;NCOR2;SLC6A6;MYCN;KIF2A;SFXN3;MALAT1;CALM1;PFKP
KDM2B 26808549 Chip-Seq K562 Human	33/2000	2.0885943416489678E-4	0.005867051377904828	0	0	2.1402425738978867	18.13609260020858	ERRFI1;FLT1;SLC2A1;PRKCZ;HK2;FSTL3;FGD4;CYP11A1;UBC;TIMP2;MAN1C1;PHACTR2;QSOX1;TFAP2A;BNIP3L;EGLN3;INSR;ARHGEF16;ACOT11;HPCAL1;RASSF8;SYNJ2;CORO2A;NEAT1;TNFRSF1B;DGKZ;NCOR2;OBSCN;BCL6;CALM1;GPRC5C;PPP1R12C;PFKP
KDM2B 26808549 Chip-Seq SUP-B15 Human	33/2000	2.0885943416489678E-4	0.005867051377904828	0	0	2.1402425738978867	18.13609260020858	FLT1;FLT4;SERPINE1;SEMA3B;SLC2A1;LIMD1;GDPD5;CORO1C;FSTL3;CCND3;ALOX5;MXI1;UBC;SH3BP5;TIMP2;MAN1C1;SLC16A3;TGFB1;GALNT2;ACOT11;PLEKHA5;RASSF8;ARID3A;ATP11A;TNFRSF1B;DGKZ;NCOR2;BCL6;PAEP;CALM1;GPRC5C;PFKP;ENG
PPAR 26484153 Chip-Seq NCI-H1993 Human	23/1185	2.3425129840227483E-4	0.006294230539678515	0	0	2.4629661503155478	20.58821998621596	CSGALNACT1;WWTR1;GALNT2;SERPINE1;MTUS1;AFAP1;RASSF8;PSG3;IL1RAP;INHBA;TNFRSF1B;MID1;DGKZ;HK2;FGD4;SLC6A6;BCL6;BASP1;NRIP1;PLIN2;ANGPTL4;SASH1;BCAT2
AR 19668381 ChIP-Seq PC3 Human	49/3519	3.132953347616256E-4	0.007797397576234783	0	0	1.8627242725667008	15.029137929799626	SCARB1;NGLY1;SLC2A1;LIMD1;HK2;LRRC1;SH3PXD2A;PHACTR2;HMG20B;DAPK1;ANXA4;DIO2;HPCAL1;MTUS1;SERPINB9;ATP11A;MID1;ADAMTS20;NCOR2;DDB1;OBSCN;KIF2A;OAF;DGKI;ENG;CSF1R;HTRA4;ATP2C2;MTMR4;PRKCZ;CYP19A1;SLC7A1;INPP5B;ALOX5;FAM120A;MAN1C1;MGAT3;EPS8L1;TFAP2A;GALNT2;INSR;RASSF8;CORO2A;SLC6A6;P4HA1;HIST1H4H;PAEP;CALM1;NEK11
TAL1 20566737 ChIP-Seq PRIMARY FETAL LIVER ERYTHROID Mouse	31/1875	3.243239146781667E-4	0.007797397576234783	0	0	2.1289946839387737	17.103848948662105	SCARB1;FLT1;SLC2A1;IL1RAP;INPP5B;CCND3;MXI1;UBC;NRIP1;GSE1;FAM83D;ATG7;HIST1H2AC;RANBP2;BNIP3L;EGLN3;TGFB1;GALNT2;DAPK1;PLCL2;SYNJ2;MID1;DGKZ;UNC13D;HOPX;KIF2A;P4HA1;HIST1H4H;MALAT1;CALM1;PFKP
ESR2 21235772 ChIP-Seq MCF-7 Human	12/424	3.3282255816050504E-4	0.007797397576234783	0	0	3.5123319061689684	28.12640642391624	ARHGEF16;NRIP1;SEMA3B;SLC2A1;FLNB;QSOX1;ATP2C2;ITGA5;ANGPTL4;NDRG1;GPRC5C;SASH1
GATA2 19941826 ChIP-Seq K562 Human	37/2410	3.406630009034614E-4	0.007797397576234783	0	0	2.001059715921767	15.977695098558797	SCARB1;PFKFB4;FLT1;SLC2A1;LIMD1;GDPD5;HK2;CORO1C;CCND3;FZR1;EBP;SH3PXD2A;CYP11A1;MXI1;SH3BP5;MGAT3;HMG20B;LYN;BNIP3L;EGLN3;COL27A1;MME;GALNT2;DAPK1;MOCOS;HPCAL1;ARID3A;SYNJ2;CORO2A;GP6;TNFRSF1B;MID1;OBSCN;KIF2A;HIST1H4H;PIK3AP1;ENG
BRD4 25478319 ChIP-Seq HGPS Human	36/2326	3.5763472294182783E-4	0.007815736996288293	0	0	2.0123418225863	15.969941523397011	ERRFI1;FLT1;ARHGEF28;HTRA4;LIMD1;TRAM2;SLC7A1;HK2;SSFA2;CORO1C;FZR1;SH3PXD2A;BASP1;NRIP1;MAN1C1;GSE1;FLNB;QSOX1;SASH1;WWTR1;MME;GALNT2;HPCAL1;AFAP1;MTSS1L;INHBA;SYNJ2;SLC6A6;PSG4;PSG7;PSG6;SFXN3;HIST1H4H;PLIN2;ITGA5;DGKI
SOX9 24532713 ChIP-Seq HFSC Mouse	25/1384	3.6675788493909466E-4	0.007815736996288293	0	0	2.295507427957759	18.159319998127017	NGLY1;SLC2A1;IL1RAP;LIMD1;SLC7A1;SSFA2;CCND3;UBC;TIMP2;FLNB;ATG7;SASH1;TFAP2A;RANBP2;ACOT11;MTUS1;CORO2A;MID1;POU2F3;NCOR2;SLC6A6;NABP1;PLIN2;DGKI;PFKP
PPARA 22158963 ChIP-Seq LIVER Mouse	32/2000	4.5660205947842573E-4	0.00910258299218281	0	0	2.059505275903823	15.841093257135675	CSF1R;ERRFI1;SCARB1;FLT1;MTMR4;TRAM2;FSTL3;UBC;SH3BP5;FLNB;QSOX1;SASH1;EGLN3;MME;DAPK1;RASSF8;ARID3A;CORO2A;HOPX;NCOR2;SLC6A6;BCL6;OAF;TRIM14;MALAT1;PLIN2;ITGA5;ANGPTL4;CALM1;PIK3AP1;GPRC5C;BCAT2
RXR 22158963 ChIP-Seq LIVER Mouse	32/2000	4.5660205947842573E-4	0.00910258299218281	0	0	2.059505275903823	15.841093257135675	ERRFI1;SCARB1;SERPINE1;MTMR4;TRAM2;SH3PXD2A;UBC;SH3BP5;GSE1;FLNB;QSOX1;MFSD2A;EGLN3;DAPK1;GPT2;RASSF8;INHBA;CORO2A;NEAT1;HOPX;NCOR2;SLC6A6;BMP1;BCL6;CPS1;OAF;TRIM14;PLIN2;ITGA5;ANGPTL4;PIK3AP1;BCAT2
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse	28/1663	4.92908349488595E-4	0.009466926726987918	0	0	2.1485858905409683	16.361883997087713	HDAC2;SLC2A1;NDRG1;HK2;SSFA2;PORCN;SH3PXD2A;MXI1;MGAT3;GSE1;HMG20B;IGF2BP2;WWTR1;BNIP3L;TGFB1;COL27A1;GALNT2;ATP11A;NCOR2;MYCN;KIF2A;OAF;SFXN3;ITGA5;CALM1;GPRC5C;PFKP;BCAT2
ATF3 23680149 ChIP-Seq GBM1-GSC Human	34/2189	5.055155048391607E-4	0.009466926726987918	0	0	2.0058689011667696	15.224408255258467	CSF1R;ERRFI1;SCARB1;SERPINE1;NGLY1;SEMA3B;SLC2A1;MTMR4;INPP5B;SH3PXD2A;UBC;SH3BP5;FLNB;QSOX1;HIST1H2AC;STRA6;GALNT2;GPT2;INHBA;SYNJ2;NEAT1;HOPX;PSG9;NCOR2;SLC6A6;BCL6;CPS1;PSG4;PLEKHM2;MALAT1;PLIN2;ITGA5;CALM1;PFKP
SUZ12 20075857 ChIP-Seq MESCs Mouse	56/4356	7.864351393638437E-4	0.01429461518020163	0	0	1.7283084873782548	12.353949597160131	FLT1;FLT4;IL1RAP;LRRC1;TIMP2;PHACTR2;QSOX1;DLGAP2;MFSD2A;CSGALNACT1;COL27A1;LIMCH1;ARHGEF16;HPCAL1;AFAP1;ATP11A;TNFRSF1B;ADAMTS20;OAF;TRIM14;GPRC5C;DGKI;GRAMD1B;HTRA4;SEMA3B;ATP2C2;GDPD5;NDRG1;CPLX1;SLC7A1;ALOX5;NRIP1;SH3BP5;MAN1C1;MGAT3;GSE1;IGF2BP2;FAM83D;LYN;EGLN3;TGFB1;GALNT2;PLCL2;MOCOS;MTSS1L;ARID3A;INHBA;SYNJ2;POU2F3;HOPX;BMP1;P4HA1;BCL6;PLEKHM2;CALM1;PIK3AP1
ESR1 21235772 ChIP-Seq MCF-7 Human	8/228	8.518091283527582E-4	0.01451518594175006	0	0	4.321101928374656	30.542188315757755	NRIP1;SLC2A1;ATP2C2;CORO2A;NDRG1;GPRC5C;UNC13D;SSFA2
SPI1 23127762 ChIP-Seq K562 Human	24/1389	9.062663459087658E-4	0.01451518594175006	0	0	2.178567740983848	15.26343188627489	LYN;CSF1R;GALNT2;DAPK1;FLT4;SLC2A1;NEAT1;GP6;TNFRSF1B;LIMD1;NDRG1;DGKZ;INPP5B;SLC6A6;OAF;ALOX5;FAM120A;MS4A15;SH3BP5;TIMP2;MAN1C1;PLEKHM2;FAM83D;ENG
KDM2B 26808549 Chip-Seq JURKAT Human	31/2000	9.629815916047774E-4	0.01451518594175006	0	0	1.9799783975564917	13.751892959549052	HDAC2;FLT1;SEMA3B;SLC2A1;HK2;CCND3;CYP11A1;MXI1;UBC;SH3BP5;MAN1C1;MGAT3;EPS8L1;QSOX1;IGF2BP2;SLC16A3;MFSD2A;BNIP3L;GALNT2;GPT2;ACOT11;HPCAL1;PLEKHA5;ARID3A;SYNJ2;GP6;UNC13D;P4HA1;BCL6;CALM1;PFKP
RACK7 27058665 Chip-Seq MCF-7 Human	31/2000	9.629815916047774E-4	0.01451518594175006	0	0	1.9799783975564917	13.751892959549052	ERRFI1;SCARB1;PFKFB4;SEMA3B;SLC2A1;LIMD1;SLC7A1;HK2;CORO1C;MXI1;UBC;TIMP2;FLNB;SLC16A3;MFSD2A;TFAP2A;GALNT2;INSR;ARHGEF16;HPCAL1;AFAP1;ARID3A;ATP11A;NEAT1;DGKZ;NCOR2;SFXN3;CALM1;PPP1R12C;PFKP;BCAT2
P300 27058665 Chip-Seq ZR-75-30cells Human	31/2000	9.629815916047774E-4	0.01451518594175006	0	0	1.9799783975564917	13.751892959549052	ERRFI1;SCARB1;SLC2A1;SLC7A1;HK2;INPP5B;CYP11A1;MXI1;UBC;TIMP2;MAN1C1;IGF2BP2;MFSD2A;EGLN3;GALNT2;GPT2;MOCOS;AFAP1;RASSF8;ATP11A;INHBA;NEAT1;DGKZ;AES;P4HA1;OAF;PLEKHM2;ANGPTL4;CALM1;PPP1R12C;PFKP
SA1 27219007 Chip-Seq ERYTHROID Human	31/2000	9.629815916047774E-4	0.01451518594175006	0	0	1.9799783975564917	13.751892959549052	ERRFI1;SCARB1;CLIC3;SLC2A1;LIMD1;GDPD5;CPLX1;HK2;FSTL3;INPP5B;MXI1;UBC;TIMP2;MAN1C1;HMG20B;QSOX1;TFAP2A;ARHGEF16;DIO2;MTSS1L;PSG3;TNFRSF1B;DGKZ;PSG9;P4HA1;PSG4;SFXN3;PLEKHM2;CALM1;PIK3AP1;GPRC5C
RARB 27405468 Chip-Seq BRAIN Mouse	31/2000	9.629815916047774E-4	0.01451518594175006	0	0	1.9799783975564917	13.751892959549052	ERRFI1;ANKRD37;HDAC2;SERPINE1;MTMR4;GDPD5;PRKCZ;CPLX1;CORO1C;FSTL3;UBC;MGAT3;GSE1;SLC16A3;STRA6;RANBP2;WWTR1;AFAP1;ARID3A;ATP11A;INHBA;NEAT1;DGKZ;ADAMTS20;NCOR2;SLC6A6;P4HA1;HIST1H4H;MALAT1;CALM1;PPP1R12C
RAD21 21589869 ChIP-Seq MESCs Mouse	31/2036	0.0012860705469977703	0.018923609477252905	0	0	1.940507885216536	12.916338333322404	SEMA3B;SLC2A1;CYP19A1;SLC7A1;SH3PXD2A;MS4A15;GSE1;FLNB;RDH13;MFSD2A;CSGALNACT1;MME;ACOT11;DIO2;MTUS1;AFAP1;ARID3A;SERPINB9;TNFRSF1B;NCOR2;DDB1;SLC6A6;MYCN;SLC6A8;BMP1;BCL6;OAF;MALAT1;PLIN2;CALM1;PPP1R12C
MECOM 23826213 ChIP-Seq KASUMI Mouse	30/1951	0.0013333471382737192	0.019162989103561828	0	0	1.9554937514333661	12.945491542900376	CSF1R;SCARB1;EBI3;NDRG1;HK2;SSFA2;CYP11A1;MXI1;GSE1;FLNB;FAM83D;BNIP3L;TGFB1;PLCL2;MOCOS;MTUS1;ARID3A;SYNJ2;NEAT1;MFSD12;DGKZ;UNC13D;MOB3A;DDB1;SLC6A6;BMP1;P4HA1;ANGPTL4;PPP1R12C;PFKP
GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	37/2601	0.0014288935964240424	0.02006946005886496	0	0	1.8317283426631183	11.99938648454344	ERRFI1;SCARB1;SLC2A1;IL1RAP;SLC7A1;HK2;SSFA2;FGD4;CCND3;SH3PXD2A;UBC;MGAT3;PHACTR2;HMG20B;FLNB;HIST1H2AC;CSGALNACT1;LYN;RANBP2;EGLN3;COL27A1;GALNT2;DAPK1;INSR;ANXA4;PLCL2;ACOT11;HPCAL1;ARID3A;SERPINB9;ATP11A;UNC13D;NCOR2;OBSCN;HIST1H4H;CALM1;ENG
GATA1 19941826 ChIP-Seq K562 Human	18/967	0.001839682933715143	0.024695911328837406	0	0	2.310098915666746	14.549377301244593	BNIP3L;COL27A1;FLT1;GALNT2;MOCOS;SLC2A1;ARID3A;GP6;TNFRSF1B;MID1;UNC13D;CORO1C;CCND3;KIF2A;SH3PXD2A;CYP11A1;SH3BP5;HIST1H4H
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	13/588	0.0018582397400840598	0.024695911328837406	0	0	2.7203913043478263	17.106162245468436	LYN;EGLN3;HDAC2;INSR;SLC2A1;NDRG1;PRKCZ;AES;CCND3;BCL6;NRIP1;SH3BP5;ITGA5
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	30/2000	0.0019580900568172055	0.024695911328837406	0	0	1.9016364346313586	11.858197364862788	ERRFI1;SERPINE1;SLC2A1;NDRG1;HK2;SH3PXD2A;MXI1;UBC;TIMP2;MGAT3;IGF2BP2;SLC16A3;STRA6;BNIP3L;COL27A1;MME;GPT2;CSNK2A2;DIO2;ARID3A;NEAT1;TNFRSF1B;AES;SLC6A6;BCL6;PLEKHM2;ITGA5;ANGPTL4;BCAT2;NEK11
ELK3 25401928 ChIP-Seq HUVEC Human	30/2000	0.0019580900568172055	0.024695911328837406	0	0	1.9016364346313586	11.858197364862788	SERPINE1;SEMA3B;SLC2A1;NDRG1;HK2;INPP5B;CCND3;CYP11A1;MXI1;UBC;TIMP2;EPS8L1;FLNB;SLC16A3;STRA6;TGFB1;MOCOS;HPCAL1;INHBA;NEAT1;DGKZ;HOPX;DDB1;P4HA1;OAF;SFXN3;MALAT1;ITGA5;ANGPTL4;PFKP
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	30/2000	0.0019580900568172055	0.024695911328837406	0	0	1.9016364346313586	11.858197364862788	PFKFB4;HDAC2;HK2;INPP5B;CCND3;FZR1;SH3PXD2A;MXI1;UBC;NRIP1;SH3BP5;GSE1;QSOX1;ATG7;LYN;RANBP2;TGFB1;GALNT2;HPCAL1;ARID3A;INHBA;DGKZ;UNC13D;HOPX;AES;SLC6A6;SFXN3;CALM1;PFKP;BCAT2
SOX2 20726797 ChIP-Seq SW620 Human	36/2564	0.0021059667759966427	0.026029749351318503	0	0	1.7981497736302319	11.081962244995838	ERRFI1;ANKRD37;PFKFB4;CLIC3;SERPINE1;TRAM2;SLC7A1;LRRC1;PORCN;ALOX5;NRIP1;SH3BP5;TIMP2;PHACTR2;EPS8L1;RDH13;HIST1H2AC;LYN;WWTR1;BNIP3L;MME;DAPK1;GPT2;ANXA4;PLCL2;CSNK2A2;MTUS1;ARID3A;CORO2A;TNFRSF1B;MID1;SLC6A8;BCL6;SFXN3;ITGA5;PIK3AP1
SALL4 18804426 ChIP-ChIP MESCs Mouse	19/1062	0.0021570742891048444	0.02613866491503517	0	0	2.221962122249754	13.640630959469497	BNIP3L;MME;ARID3A;SYNJ2;POU2F3;HK2;CORO1C;FGD4;SLC6A6;PORCN;MYCN;KIF2A;BASP1;MXI1;UBC;NRIP1;GSE1;SASH1;BCAT2
PPARG 20176806 ChIP-Seq MACROPHAGES Mouse	23/1408	0.0024115560162859115	0.028219539126088218	0	0	2.041713598074609	12.30639418683531	CSGALNACT1;EGLN3;DAPK1;INSR;ARHGEF16;DIO2;HPCAL1;MTUS1;RASSF8;CORO2A;DGKZ;SLC7A1;NCOR2;FGD4;CCND3;BCL6;MXI1;TIMP2;MAN1C1;TRIM14;MALAT1;PIK3AP1;GPRC5C
ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human	19/1073	0.00242012228751242	0.028219539126088218	0	0	2.197485152418739	13.237512573815337	TFAP2A;ERRFI1;SCARB1;FLT1;ARHGEF16;MTUS1;ATP11A;CORO2A;NEAT1;NDRG1;PSG9;SLC6A6;PORCN;KIF2A;NRIP1;MGAT3;PLIN2;CALM1;BCAT2
PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	46/3565	0.002585896683459724	0.029594150932927953	0	0	1.6785548865215378	10.000297830903639	GRAMD1B;ERRFI1;SCARB1;SERPINE1;NGLY1;SLC2A1;MTMR4;TRAM2;SLC7A1;HK2;SH3PXD2A;FAM120A;MXI1;UBC;NRIP1;MAN1C1;GSE1;IGF2BP2;ATG7;SASH1;RANBP2;WWTR1;EGLN3;COL27A1;MME;GALNT2;DAPK1;INSR;CSNK2A2;AFAP1;RASSF8;INHBA;SYNJ2;NEAT1;TNFRSF1B;MID1;NCOR2;SLC6A6;BCL6;OAF;PLEKHM2;PLIN2;ANGPTL4;PIK3AP1;PFKP;BCAT2
